monthly_income,dti_ratio,credit_history_years,education,region,gender,ethnicity,age_group,approved
6300.33,0.284,5.0,Bachelors,North,Female,Group_A,Young,0
4586.48,0.2739,6.0,Masters,Central,Male,Group_A,Young,0
6794.33,0.428,6.2,Bachelors,East,Male,Group_D,Adult,1
10525.07,0.3104,4.3,No Degree,East,Female,Group_A,Adult,0
4371.77,0.2679,5.5,Masters,South,Female,Group_C,Adult,0
4371.81,0.248,22.0,High School,North,Female,Group_C,Young,0
10824.92,0.2068,5.8,Bachelors,North,Female,Group_A,Adult,1
7213.56,0.5854,9.8,PhD,Central,Female,Group_A,Adult,1
3886.49,0.4665,18.3,High School,North,Male,Group_A,Young,1
6446.42,0.2479,14.2,PhD,South,Female,Group_C,Young,1
3898.28,0.2807,7.8,High School,Central,Female,Group_B,Young,0
3893.78,0.0576,4.7,Bachelors,Central,Male,Group_C,Senior,1
5546.83,0.2777,12.3,High School,East,Female,Group_C,Young,0
1888.16,0.1301,6.7,High School,West,Female,Group_B,Adult,0
2074.64,0.1668,23.8,Masters,North,Female,Group_B,Adult,1
3710.26,0.0694,6.7,Bachelors,Central,Male,Group_B,Senior,0
2961.89,0.0909,6.9,Masters,Central,Female,Group_A,Adult,1
5750.97,0.3479,5.9,Bachelors,South,Male,Group_C,Adult,1
3121.25,0.0661,8.0,High School,North,Female,Group_A,Adult,1
2425.63,0.4189,10.7,High School,East,Male,Group_B,Adult,0
10227.39,0.209,10.4,Bachelors,West,Female,Group_A,Adult,1
4390.12,0.2536,5.6,Bachelors,Central,Female,Group_A,Young,0
5083.54,0.4895,24.4,Bachelors,Central,Male,Group_A,Senior,1
2410.59,0.3866,15.1,Bachelors,Central,Male,Group_A,Adult,0
3743.62,0.1336,8.0,PhD,South,Female,Group_C,Young,1
5195.05,0.0727,13.6,Masters,West,Male,Group_D,Adult,1
2764.19,0.0777,7.1,Bachelors,West,Male,Group_C,Adult,1
5930.41,0.4038,7.8,No Degree,East,Female,Group_B,Senior,0
3639.79,0.2729,6.8,Bachelors,East,Female,Group_C,Adult,0
4247.79,0.2058,7.2,Bachelors,Central,Male,Group_A,Adult,0
3637.84,0.3742,12.7,High School,West,Male,Group_B,Senior,0
12408.53,0.218,6.0,High School,Central,Female,Group_A,Adult,1
4881.71,0.1409,5.3,Bachelors,Central,Female,Group_C,Adult,0
2896.17,0.2107,8.0,No Degree,North,Male,Group_B,Adult,0
7415.09,0.1277,7.4,Masters,Central,Male,Group_B,Adult,1
2669.32,0.2212,3.2,High School,Central,Non-Binary,Group_C,Adult,0
5455.79,0.3088,11.6,High School,East,Female,Group_A,Adult,0
1844.87,0.3814,18.8,No Degree,East,Male,Group_B,Adult,0
2529.83,0.2386,7.3,High School,West,Female,Group_C,Adult,0
5423.14,0.331,11.6,Bachelors,West,Male,Group_A,Adult,0
7109.83,0.1025,3.9,No Degree,West,Male,Group_B,Adult,0
5354.45,0.1308,10.9,High School,North,Male,Group_D,Adult,1
4638.64,0.0347,9.5,High School,Central,Male,Group_C,Adult,0
4227.85,0.2431,13.1,High School,Central,Female,Group_A,Young,0
2346.64,0.0769,12.8,Bachelors,East,Female,Group_B,Senior,0
3429.18,0.2433,13.0,High School,East,Female,Group_A,Adult,0
3903.7,0.4034,6.7,Bachelors,Central,Female,Group_B,Adult,1
8337.85,0.471,4.7,Bachelors,West,Male,Group_B,Adult,0
5836.05,0.1098,6.6,Bachelors,North,Male,Group_B,Adult,0
2035.47,0.349,16.0,No Degree,North,Female,Group_B,Adult,0
5779.32,0.2851,12.7,Masters,South,Male,Group_B,Adult,1
